exp,city,n,n_total,score,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort
DD-CC-Dv2r-bos,all,12147,12147,0.5581146290235631,0.9021076897744114,0.8173061090070806,0.9585460233821835,0.9934134694549647,0.8711897779566866,0.8859706899390746,0.9008727152972172,0.5135847192491355,0.0036226543566411067
DD-CC-Dv2r-bos,boston,3732,3732,0.5968197716150908,0.887161618868936,0.8702760653980167,0.9828464218708122,0.9906191369606003,0.8963027739923043,0.8683998927901366,0.944518895738408,0.5304207987134817,0.0034845550617028354
DD-CC-Dv2r-bos,pittsburgh,2438,2438,0.4924125426237367,0.9004924086992204,0.7689782519491178,0.892080426754206,0.9938448912597456,0.8681051402662352,0.8896183832581042,0.8469429626590069,0.44973327862125567,0.0012311389185884764
DD-CC-Dv2r-bos,singapore,1915,1915,0.46503446125717157,0.9657784743991641,0.6818181818181819,0.937042842215256,0.9973876698014629,0.7262311972235715,0.955067920585162,0.8119122257053292,0.5297805642633229,0.005747615074442672
DD-CC-Dv2r-bos,vegas,4065,4065,0.605582622597787,0.8773375984251969,0.8649114173228346,0.9878198818897638,0.9940944881889764,0.9189049883232019,0.8565452755905512,0.9409448818897638,0.5359251968503936,0.0031989632651131406
DD-CC-Dv2r-pit,boston,3732,3732,0.5673931865859367,0.910613776467435,0.8086303939962477,0.9538997587778075,0.993835432859823,0.8603924709865508,0.8952023586169928,0.9321897614580542,0.5213079603323505,0.0018762988793784503
DD-CC-Dv2r-pit,pittsburgh,2438,2438,0.5664697914060548,0.9425523184242921,0.8100123102174804,0.9513746409519902,0.9963069347558474,0.8561389974663475,0.9388592531801394,0.8916700861715223,0.46286417726713175,0.004103796395294922
DD-CC-Dv2r-pit,singapore,1915,1915,0.4523381808724594,0.9746603970741902,0.6797283176593522,0.9263322884012539,0.9994775339602926,0.6920030988603151,0.9634273772204807,0.8019853709508882,0.5339602925809822,0.007315146458381582
DD-CC-Dv2r-pit,vegas,4065,4065,0.6293796895668288,0.9153543307086615,0.8609744094488189,0.9781003937007875,0.9980314960629921,0.8905430781310123,0.890748031496063,0.9394685039370079,0.5319881889763779,0.003691111459745931
DD-CC-Dv2r-sin,boston,3732,3732,0.4366297237661993,0.7503350308228357,0.7971053336906995,0.9340659340659341,0.978021978021978,0.8795038752453221,0.7255427499329938,0.9035111230233182,0.4993299383543286,0.002948469667594707
DD-CC-Dv2r-sin,pittsburgh,2438,2438,0.4057198799645951,0.8652031185884284,0.7164546573656134,0.8241690603200656,0.9909725071809603,0.8320901107621851,0.8530980713992615,0.7825194911776775,0.4735330324169061,0.0004103796395294922
DD-CC-Dv2r-sin,singapore,1915,1915,0.5665699642003862,0.9663009404388715,0.8072100313479624,0.9736154649947754,0.9979101358411704,0.74066936177074,0.9602925809822361,0.8834900731452455,0.5229885057471264,0.0031350627678778204
DD-CC-Dv2r-sin,vegas,4065,4065,0.5068316735232505,0.7786663385826772,0.8095472440944882,0.9511564960629921,0.9899114173228346,0.9228485758550128,0.7406496062992125,0.9183070866141733,0.5127952755905512,0.002460740973163954
DD-CC-Dv2r-veg,boston,3732,3732,0.6614765035174984,0.9378182792816939,0.8273921200750469,0.9690431519699811,0.9919592602519431,0.8476560404603121,0.9153042079871347,0.9276333422674886,0.9788260519967837,0.18897010142311532
DD-CC-Dv2r-veg,pittsburgh,2438,2438,0.5474079416444071,0.9302421009437833,0.7459991793188346,0.8748461222814935,0.9958965941731638,0.8088572355289296,0.9179318834632745,0.8178087812884695,0.9610176446450553,0.18549159706733048
DD-CC-Dv2r-veg,singapore,1915,1915,0.504146546351693,0.9642110762800418,0.6666666666666667,0.9412225705329154,0.9973876698014629,0.6627532960689094,0.9582027168234065,0.7727272727272727,0.9869383490073145,0.280065607263752
DD-CC-Dv2r-veg,vegas,4065,4065,0.8458552545054833,0.9863435039370079,0.9707185039370079,1.0,0.9987696850393701,0.9011773633237273,0.9776082677165355,0.985236220472441,0.9894192913385826,0.21703735383306078
DD-CC-IJSr-bos,all,12147,12147,0.592298874299606,0.9303062736703441,0.8379713485921291,0.9615922937592623,0.995718755145727,0.8517028085206164,0.9190680059278774,0.9073769142104396,0.5209945661123003,0.003128656035280956
DD-CC-IJSr-bos,boston,3732,3732,0.6350870963871229,0.9234789600643258,0.8914500134012329,0.9815062985794694,0.9941034575180917,0.8796123711467235,0.9102117394800322,0.9482712409541677,0.5205038863575449,0.002948469667594707
DD-CC-IJSr-bos,pittsburgh,2438,2438,0.524006664993363,0.9230611407468199,0.7948297086581863,0.8976200246204349,0.9958965941731638,0.8531961147836679,0.91629052113254,0.8444809191629051,0.47312269183422245,0.0032830371162359375
DD-CC-IJSr-bos,singapore,1915,1915,0.4781281011050673,0.9764890282131661,0.7027168234064786,0.945141065830721,0.9984326018808778,0.7042538116804156,0.9665621734587252,0.8155694879832811,0.522466039707419,0.003657573229190791
DD-CC-IJSr-bos,vegas,4065,4065,0.6399953109657791,0.9200295275590551,0.8777066929133858,0.9896653543307086,0.9970472440944882,0.8946671722906614,0.9032972440944882,0.9399606299212598,0.5376476377952756,0.002460740973163954
DD-CC-IJSr-pit,all,12147,12147,0.5660336739672953,0.911246500905648,0.81952906306603,0.9538942861847522,0.9954717602502882,0.8677000178198138,0.8965914704429441,0.8901696031615346,0.49892968878643174,0.004692984052921434
DD-CC-IJSr-pit,boston,3732,3732,0.5617625092921414,0.8890377914768158,0.8279281693915841,0.9547038327526133,0.989010989010989,0.8862167402949441,0.8737603859555079,0.9198606271777003,0.5164835164835164,0.0037525977587569005
